Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2	Miền
Thái Nguyên	('21.593151', '105.8431043')	33.88	49	1.2	1002	03/07/2021 11:00	92	6.0	13.0		63.0	92.0	28.0	1
Hà Nội	('21.0491', '105.8831')	34.01	40	3.87	1001	03/07/2021 11:00	14	4.0	11.0	13.0	14.0	11.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	34.06	40	4.61	1001	03/07/2021 11:00	76	1.0	7.0	13.0	76.0	62.0	36.0	1
Quảng Ninh	('21.006517', '107.344252')	34.06	40	4.61	1001	03/07/2021 10:00	60	9.0		20.0	1.0	2.0	60.0	1
Gia Lai	('13.998599', '107.996482')	33.44	40	3.81	1007	03/07/2021 12:00	23	2.0	6.0	10.0	21.0	23.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	38.0	39	2.57	1005	03/07/2021 12:00	33	4.0	11.0	25.0	22.0	22.0	33.0	2
Cao Bằng	('22.6782', '106.245')	30.68	75	1.26	1003	03/07/2021 12:00	78		0.0	1.0	71.0	78.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	33.92	48	1.99	1002	03/07/2021 12:00	22		10.0	19.0	13.0	22.0		1
Thái Nguyên	('21.593151', '105.8431043')	33.88	49	1.2	1002	03/07/2021 12:00	105	7.0	9.0		66.0	105.0	8.0	1
Hà Nội	('21.0491', '105.8831')	34.01	40	3.87	1001	03/07/2021 12:00	18	3.0	11.0	18.0	14.0	11.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	34.06	40	4.61	1001	03/07/2021 12:00	81	1.0	5.0	17.0	81.0	67.0	34.0	1
Quảng Ninh	('21.006517', '107.344252')	34.06	40	4.61	1001	03/07/2021 11:00	59	7.0		20.0	1.0	2.0	59.0	1
Gia Lai	('13.998599', '107.996482')	34.45	36	4.62	1005	03/07/2021 13:00	20	2.0	4.0	11.0	18.0	20.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	38.0	37	4.12	1004	03/07/2021 13:00	31	2.0	11.0	25.0	18.0	19.0	31.0	2
Cao Bằng	('22.6782', '106.245')	28.65	85	0.92	1002	03/07/2021 13:00	81		0.0	1.0	75.0	81.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	35.92	46	2.5	1000	03/07/2021 13:00	26		11.0	26.0	10.0	18.0		1
Thái Nguyên	('21.593151', '105.8431043')	35.88	52	0.73	1001	03/07/2021 13:00	102	5.0	5.0		64.0	102.0	13.0	1
Hà Nội	('21.0491', '105.8831')	36.01	38	4.42	1000	03/07/2021 13:00	21	3.0	11.0	21.0	13.0	10.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	36.06	39	4.85	1000	03/07/2021 13:00	78	1.0	3.0	19.0	78.0	66.0	34.0	1
Quảng Ninh	('21.006517', '107.344252')	36.06	39	4.85	1000	03/07/2021 12:00	59	8.0		20.0	1.0	2.0	59.0	1
Gia Lai	('13.998599', '107.996482')	34.19	35	5.11	1004	03/07/2021 14:00	18	2.0	5.0	9.0	17.0	18.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	37.0	44	5.14	1003	03/07/2021 14:00	29	2.0	11.0	22.0	18.0	18.0	29.0	2
Cao Bằng	('22.6782', '106.245')	28.81	84	0.45	1002	03/07/2021 14:00	92		0.0	1.0	92.0	85.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	35.92	45	3.22	1000	03/07/2021 14:00	22		11.0	22.0	8.0	14.0		1
Thái Nguyên	('21.593151', '105.8431043')	35.88	50	0.61	1000	03/07/2021 14:00	100	5.0	4.0		62.0	100.0	7.0	1
Hà Nội	('21.0491', '105.8831')	36.01	37	4.6	999	03/07/2021 14:00	28	3.0	11.0	28.0	12.0	11.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	36.05	38	4.47	999	03/07/2021 14:00	67	1.0	4.0	17.0	67.0	55.0	34.0	1
Quảng Ninh	('21.006517', '107.344252')	36.06	38	4.38	999	03/07/2021 13:00	59	8.0		20.0	1.0	2.0	59.0	1
Gia Lai	('13.998599', '107.996482')	33.33	36	5.05	1003	03/07/2021 15:00	18	2.0	6.0	9.0	17.0	18.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	35.0	49	5.14	1003	03/07/2021 15:00	27	3.0	10.0	24.0	16.0	18.0	27.0	2
Cao Bằng	('22.6782', '106.245')	29.44	81	0.43	1001	03/07/2021 15:00	87		0.0	1.0	86.0	87.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	35.92	45	2.45	999	03/07/2021 15:00	22		16.0	22.0	7.0	12.0		1
Thái Nguyên	('21.593151', '105.8431043')	35.88	50	0.3	1000	03/07/2021 15:00	103	5.0	3.0		62.0	103.0	6.0	1
Hà Nội	('21.0491', '105.8831')	36.01	37	4.45	999	03/07/2021 15:00	27	3.0	11.0	27.0	12.0	11.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	36.06	37	4.35	999	03/07/2021 15:00	66	1.0	4.0	19.0	66.0	54.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	36.06	37	4.35	999	03/07/2021 14:00	59	8.0		20.0	1.0	2.0	59.0	1
Gia Lai	('13.998599', '107.996482')	31.7	43	4.95	1004	03/07/2021 16:00	18	3.0	7.0	8.0	18.0	18.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	35.0	49	4.12	1003	03/07/2021 16:00	28	2.0	11.0	26.0	18.0	18.0	28.0	2
Cao Bằng	('22.6782', '106.245')	29.59	83	0.22	1001	03/07/2021 16:00	93		0.0	1.0	93.0	89.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	34.92	46	1.82	999	03/07/2021 16:00	26		13.0	26.0	6.0	10.0		1
Thái Nguyên	('21.593151', '105.8431043')	34.88	51	0.48	999	03/07/2021 16:00	95	5.0	3.0		60.0	95.0	5.0	1
Hà Nội	('21.0491', '105.8831')	35.01	40	3.63	999	03/07/2021 16:00	25	3.0	11.0	25.0	9.0	10.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	35.06	40	4.23	999	03/07/2021 16:00	69	2.0	8.0	24.0	68.0	69.0	34.0	1
Quảng Ninh	('21.006517', '107.344252')	35.06	40	4.23	999	03/07/2021 15:00	60	8.0		20.0	1.0	2.0	60.0	1
Gia Lai	('13.998599', '107.996482')	22.66	87	1.34	1007	03/07/2021 17:00	19	3.0	7.0	8.0	19.0	19.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	33.0	62	3.6	1003	03/07/2021 17:00	28	6.0	11.0	22.0	18.0	20.0	28.0	2
Cao Bằng	('22.6782', '106.245')	28.55	86	0.16	1001	03/07/2021 17:00	93		0.0	1.0	93.0	89.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	33.92	54	0.89	999	03/07/2021 17:00	20		11.0	20.0	6.0	10.0		1
Thái Nguyên	('21.593151', '105.8431043')	33.88	61	0.6	999	03/07/2021 17:00	84	6.0	6.0		57.0	84.0	4.0	1
Hà Nội	('21.0491', '105.8831')	34.01	46	1.67	999	03/07/2021 17:00	20	4.0	11.0	20.0	8.0	9.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	34.06	48	1.41	999	03/07/2021 17:00	72	2.0	7.0	22.0	70.0	72.0	35.0	1
Quảng Ninh	('21.006517', '107.344252')	34.06	48	1.41	999	03/07/2021 16:00	60	9.0		20.0	1.0	2.0	60.0	1
Gia Lai	('13.998599', '107.996482')	19.83	95	5.52	1009	03/07/2021 18:00	34	5.0	10.0	5.0	29.0	34.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	33.0	55	2.06	1005	03/07/2021 18:00	26	2.0	11.0	25.0	17.0	23.0	26.0	2
Cao Bằng	('22.6782', '106.245')	27.38	88	0.3	1002	03/07/2021 18:00	87		0.0	1.0	80.0	87.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	32.92	55	0.46	999	03/07/2021 18:00	30		19.0	30.0	7.0	12.0		1
Thái Nguyên	('21.593151', '105.8431043')	32.88	65	1.02	1000	03/07/2021 18:00	74	6.0	7.0		55.0	74.0	4.0	1
Hà Nội	('21.0491', '105.8831')	33.01	48	2.07	999	03/07/2021 18:00	17	7.0	11.0	17.0	10.0	10.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.06	52	2.43	1000	03/07/2021 18:00	85	3.0	14.0	22.0	69.0	85.0	35.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	52	2.43	1000	03/07/2021 17:00	61	9.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	19.7	95	1.52	1009	03/07/2021 19:00	48	5.0	11.0	4.0	37.0	48.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	74	3.6	1006	03/07/2021 19:00	51	3.0	11.0	23.0	51.0	27.0	27.0	2
Cao Bằng	('22.6782', '106.245')	26.93	89	0.35	1003	03/07/2021 19:00	98		0.0	1.0	98.0	94.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	31.92	58	0.73	1001	03/07/2021 19:00	24		10.0	22.0	13.0	24.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	66	0.9	1001	03/07/2021 19:00	63	6.0	11.0		50.0	63.0	9.0	1
Hà Nội	('21.0491', '105.8831')	32.01	52	2.86	1001	03/07/2021 19:00	28	8.0	11.0	28.0	21.0	23.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	58	3.69	1001	03/07/2021 19:00	120	4.0	13.0	21.0	78.0	120.0	34.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	58	3.69	1001	03/07/2021 18:00	61	9.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	19.84	96	2.46	1009	03/07/2021 20:00	46	5.0	12.0	2.0	36.0	46.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	69	1.03	1006	03/07/2021 20:00	40	2.0	11.0	18.0	40.0	22.0	28.0	2
Cao Bằng	('22.6782', '106.245')	26.68	89	0.62	1003	03/07/2021 20:00	109		0.0	1.0	109.0	101.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	60	0.89	1001	03/07/2021 20:00	28		6.0	25.0	15.0	28.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	68	1.37	1002	03/07/2021 20:00	77	8.0	14.0		52.0	77.0	7.0	1
Hà Nội	('21.0491', '105.8831')	31.01	58	3.57	1002	03/07/2021 20:00	37	9.0	10.0	24.0	31.0	37.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	63	4.13	1002	03/07/2021 20:00	150	4.0	14.0	18.0	84.0	150.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	63	4.13	1002	03/07/2021 19:00	61	9.0		19.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	19.41	96	0.63	1010	03/07/2021 21:00	36	2.0	6.0	6.0	30.0	36.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	19.41	96	0.63	1010	03/07/2021 21:00	28	4.0	11.0	14.0	28.0	19.0	28.0	2
Cao Bằng	('22.6782', '106.245')	26.26	90	0.56	1004	03/07/2021 21:00	106		0.0	1.0	106.0	103.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	63	1.17	1002	03/07/2021 21:00	29		3.0	24.0	15.0	29.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	70	1.43	1003	03/07/2021 21:00	105	8.0	13.0		62.0	105.0	7.0	1
Hà Nội	('21.0491', '105.8831')	31.01	62	3.9	1002	03/07/2021 21:00	41	8.0	11.0	18.0	33.0	41.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	64	4.54	1002	03/07/2021 21:00	154	3.0	22.0	14.0	91.0	154.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	64	4.54	1002	03/07/2021 20:00	61	9.0		18.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	19.26	96	0.76	1010	03/07/2021 22:00	30	3.0	7.0	4.0	26.0	30.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	69	1.03	1007	03/07/2021 22:00	29	6.0	11.0	9.0	26.0	21.0	29.0	2
Cao Bằng	('22.6782', '106.245')	25.69	94	0.52	1004	03/07/2021 22:00	102		0.0	1.0	96.0	102.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	66	1.0	1002	03/07/2021 22:00	28		3.0	23.0	15.0	28.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	71	1.41	1003	03/07/2021 22:00	117	8.0	12.0		66.0	117.0	10.0	1
Hà Nội	('21.0491', '105.8831')	31.01	66	4.4	1002	03/07/2021 22:00	27	9.0	11.0	7.0	24.0	27.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	67	4.87	1003	03/07/2021 22:00	143	2.0	24.0	14.0	81.0	143.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	67	4.87	1003	03/07/2021 21:00	60	9.0		20.0	1.0	2.0	60.0	1
Gia Lai	('13.998599', '107.996482')	19.41	94	1.14	1010	03/07/2021 23:00	30	2.0	7.0	3.0	26.0	30.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	69	1.54	1006	03/07/2021 23:00	29	2.0	11.0	12.0	24.0	24.0	29.0	2
Cao Bằng	('22.6782', '106.245')	25.47	94	0.26	1004	03/07/2021 23:00	100		0.0	1.0	95.0	100.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	68	0.94	1002	03/07/2021 23:00	27		3.0	25.0	14.0	27.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	73	1.66	1003	03/07/2021 23:00	122	7.0	12.0		67.0	122.0	5.0	1
Hà Nội	('21.0491', '105.8831')	31.01	70	4.32	1002	03/07/2021 23:00	19	7.0	10.0	7.0	19.0	19.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	72	4.83	1002	03/07/2021 23:00	130	2.0	13.0	13.0	74.0	130.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	72	4.83	1002	03/07/2021 22:00	52	9.0		20.0	1.0	2.0	52.0	1
Gia Lai	('13.998599', '107.996482')	27.88	62	1.78	1008	04/07/2021 08:00	40	3.0	7.0	7.0	32.0	40.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	33.0	55	1.03	1006	04/07/2021 08:00	40	3.0	10.0	13.0	33.0	40.0	32.0	2
Cao Bằng	('22.6782', '106.245')	29.91	75	1.58	1005	04/07/2021 08:00	105		0.0	1.0	105.0	86.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	31.92	66	1.26	1004	04/07/2021 08:00	38		2.0	15.0	20.0	38.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	68	1.94	1004	04/07/2021 08:00	57	6.0	8.0		46.0	57.0	7.0	1
Hà Nội	('21.0491', '105.8831')	32.01	63	0.39	1004	04/07/2021 08:00	30	11.0	11.0	30.0	13.0	17.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	62	2.97	1004	04/07/2021 08:00	76	1.0	6.0	13.0	52.0	76.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	62	2.97	1004	04/07/2021 07:00	61	9.0		20.0	2.0	5.0	61.0	1
Gia Lai	('13.998599', '107.996482')	30.0	53	2.02	1008	04/07/2021 09:00	43	3.0	8.0	8.0	33.0	43.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	35.0	49	1.03	1006	04/07/2021 09:00	42	7.0	11.0	18.0	39.0	42.0	38.0	2
Cao Bằng	('22.6782', '106.245')	32.03	65	2.37	1005	04/07/2021 09:00	111		0.0	1.0	111.0	87.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	32.92	60	0.82	1004	04/07/2021 09:00	39		4.0	20.0	21.0	39.0		1
Thái Nguyên	('21.593151', '105.8431043')	32.88	63	2.45	1004	04/07/2021 09:00	55	6.0	7.0		46.0	55.0	8.0	1
Hà Nội	('21.0491', '105.8831')	33.01	58	0.67	1004	04/07/2021 09:00	25	13.0	11.0	25.0	17.0	19.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.06	57	2.7	1004	04/07/2021 09:00	71	1.0	5.0	14.0	52.0	71.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	57	2.7	1004	04/07/2021 08:00	61	9.0		20.0	2.0	6.0	61.0	1
Gia Lai	('13.998599', '107.996482')	31.48	48	2.45	1008	04/07/2021 10:00	38	3.0	7.0	11.0	30.0	38.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	37.0	44	1.54	1005	04/07/2021 10:00	46	5.0	11.0	32.0	35.0	38.0	46.0	2
Cao Bằng	('22.6782', '106.245')	33.43	60	2.76	1005	04/07/2021 10:00	114		0.0	1.0	114.0	90.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	33.92	55	0.44	1004	04/07/2021 10:00	42		5.0	20.0	23.0	42.0		1
Thái Nguyên	('21.593151', '105.8431043')	33.88	58	2.66	1004	04/07/2021 10:00	54	5.0	5.0		45.0	54.0	7.0	1
Hà Nội	('21.0491', '105.8831')	34.01	54	0.37	1003	04/07/2021 10:00	21	14.0	11.0	8.0	21.0	21.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	34.06	52	2.41	1003	04/07/2021 10:00	79	1.0	10.0	16.0	54.0	79.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	34.06	52	2.41	1003	04/07/2021 09:00	61	9.0		20.0	2.0	5.0	61.0	1
Gia Lai	('13.998599', '107.996482')	32.4	44	2.98	1007	04/07/2021 11:00	34	3.0	7.0	11.0	28.0	34.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	37.0	47	3.09	1005	04/07/2021 11:00	44	4.0	11.0	33.0	38.0	39.0	44.0	2
Cao Bằng	('22.6782', '106.245')	33.85	58	3.32	1004	04/07/2021 11:00	108		0.0	1.0	108.0	88.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	34.92	51	1.54	1003	04/07/2021 11:00	38		6.0	24.0	21.0	38.0		1
Thái Nguyên	('21.593151', '105.8431043')	34.88	55	2.81	1003	04/07/2021 11:00	47	4.0	5.0		39.0	47.0	7.0	1
Hà Nội	('21.0491', '105.8831')	35.01	50	0.33	1003	04/07/2021 11:00	22	11.0	10.0	7.0	21.0	22.0	10.0	1
Bắc Ninh	('21.1527453', '106.111371')	35.06	48	2.16	1003	04/07/2021 11:00	77	1.0	4.0	23.0	53.0	77.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	35.06	48	2.16	1003	04/07/2021 10:00	63	7.0		20.0	2.0	4.0	63.0	1
Gia Lai	('13.998599', '107.996482')	32.97	42	3.42	1006	04/07/2021 12:00	32	2.0	5.0	13.0	26.0	32.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	37.0	47	3.6	1004	04/07/2021 12:00	39	5.0	10.0	30.0	30.0	34.0	39.0	2
Cao Bằng	('22.6782', '106.245')	32.17	67	2.67	1003	04/07/2021 12:00	108		0.0	1.0	108.0	86.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	35.92	49	2.02	1002	04/07/2021 12:00	35		6.0	23.0	19.0	35.0		1
Thái Nguyên	('21.593151', '105.8431043')	35.88	52	2.7	1002	04/07/2021 12:00	55	4.0	4.0		45.0	55.0	6.0	1
Hà Nội	('21.0491', '105.8831')	36.01	48	0.73	1002	04/07/2021 12:00	25	7.0	11.0	22.0	23.0	25.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	36.06	46	2.09	1002	04/07/2021 12:00	73	1.0	2.0	21.0	52.0	73.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	36.06	46	2.09	1002	04/07/2021 11:00	62	9.0		20.0	2.0	3.0	62.0	1
Gia Lai	('13.998599', '107.996482')	32.89	41	4.01	1005	04/07/2021 13:00	27	2.0	5.0	12.0	21.0	27.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	35.0	49	4.12	1004	04/07/2021 13:00	35	1.0	11.0	35.0	23.0	27.0	35.0	2
Cao Bằng	('22.6782', '106.245')	34.44	55	3.06	1002	04/07/2021 13:00	92		0.0	1.0	92.0	83.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	35.92	46	3.13	1001	04/07/2021 13:00	32		5.0	32.0	16.0	28.0		1
Thái Nguyên	('21.593151', '105.8431043')	35.88	50	2.75	1001	04/07/2021 13:00	60	4.0	3.0		50.0	60.0	5.0	1
Hà Nội	('21.0491', '105.8831')	36.01	42	0.72	1000	04/07/2021 13:00	24	7.0	11.0	23.0	20.0	24.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	36.06	45	2.38	1001	04/07/2021 13:00	64	1.0	1.0	21.0	50.0	64.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	36.06	45	2.38	1001	04/07/2021 12:00	62	9.0		20.0	2.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	32.2	43	4.8	1003	04/07/2021 14:00	25	2.0	5.0	12.0	20.0	25.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	35.0	52	3.6	1003	04/07/2021 14:00	28	1.0	11.0	28.0	19.0	25.0	28.0	2
Cao Bằng	('22.6782', '106.245')	33.66	61	2.47	1002	04/07/2021 14:00	80		0.0	2.0	80.0	80.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	35.92	47	3.24	1000	04/07/2021 14:00	25		6.0	25.0	12.0	20.0		1
Thái Nguyên	('21.593151', '105.8431043')	35.88	49	2.77	1001	04/07/2021 14:00	63	4.0	3.0		52.0	63.0	4.0	1
Hà Nội	('21.0491', '105.8831')	35.88	49	2.77	1001	04/07/2021 14:00	25	5.0	11.0	25.0	17.0	20.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	36.01	45	1.83	1000	04/07/2021 14:00	52	1.0	1.0	21.0	40.0	52.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	36.01	45	1.83	1000	04/07/2021 13:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	31.02	48	4.38	1004	04/07/2021 15:00	23	3.0	7.0	11.0	19.0	23.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	34.0	59	4.63	1003	04/07/2021 15:00	28	3.0	11.0	28.0	21.0	25.0	28.0	2
Cao Bằng	('22.6782', '106.245')	30.73	78	1.57	1002	04/07/2021 15:00	80		0.0	1.0	80.0	78.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	36.92	47	2.96	1000	04/07/2021 15:00	26		7.0	26.0	9.0	16.0		1
Thái Nguyên	('21.593151', '105.8431043')	36.92	47	2.96	1000	04/07/2021 15:00	64	4.0	3.0		52.0	64.0	6.0	1
Hà Nội	('21.0491', '105.8831')	37.01	50	4.34	1000	04/07/2021 15:00	23	5.0	11.0	23.0	14.0	16.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	37.01	50	4.34	1000	04/07/2021 15:00	64	1.0	4.0	22.0	50.0	64.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	36.88	51	3.29	1000	04/07/2021 14:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	26.44	74	3.01	1004	04/07/2021 16:00	28	4.0	10.0	8.0	23.0	28.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	33.0	66	3.6	1003	04/07/2021 16:00	29	2.0	11.0	27.0	22.0	29.0	28.0	2
Cao Bằng	('22.6782', '106.245')	30.17	81	0.44	1002	04/07/2021 16:00	144		0.0	1.0	123.0	144.0	1.0	1
